dataset,M,seed,best_acc
SVHN,1,2024,73.01014136447449
SVHN,1,2025,73.42117393976645
SVHN,1,2026,73.38660110633067
SVHN,1,2027,73.04087277197296
SVHN,1,2028,72.99861708666256
SVHN,4,2024,79.80178242163491
SVHN,4,2025,79.67117393976645
SVHN,4,2026,79.54440688383528
SVHN,4,2027,80.25122925629994
SVHN,4,2028,79.78641671788569
FashionMNIST,1,2024,80.68
FashionMNIST,1,2025,80.51
FashionMNIST,1,2026,80.35
FashionMNIST,1,2027,80.29
FashionMNIST,1,2028,80.97
FashionMNIST,4,2024,83.25
FashionMNIST,4,2025,83.3
FashionMNIST,4,2026,83.31
FashionMNIST,4,2027,83.29
FashionMNIST,4,2028,83.1
