dataset,mode,M,rc,acc,params,returncode
CINIC10,adapter,1,False,0.0,0,1
CINIC10,adapter,1,True,0.0,0,1
CINIC10,adapter,2,False,0.0,0,1
CINIC10,adapter,2,True,0.0,0,1
CINIC10,adapter,3,False,0.0,0,1
CINIC10,adapter,3,True,0.0,0,1
CINIC10,adapter,4,False,0.0,0,1
CINIC10,adapter,4,True,0.0,0,1
CINIC10,full_ft,0,False,0.0,0,1
FashionMNIST,adapter,1,False,0.0,0,1
FashionMNIST,adapter,1,True,0.0,0,1
FashionMNIST,adapter,2,False,0.0,0,1
FashionMNIST,adapter,2,True,0.0,0,1
FashionMNIST,adapter,3,False,0.0,0,1
FashionMNIST,adapter,3,True,0.0,0,1
FashionMNIST,adapter,4,False,0.0,0,1
FashionMNIST,adapter,4,True,0.0,0,1
FashionMNIST,full_ft,0,False,0.0,1546690,1
STL10,adapter,1,False,0.0,0,1
STL10,adapter,1,True,0.0,0,1
STL10,adapter,2,False,0.0,2203714,1
STL10,adapter,2,True,0.0,0,1
STL10,adapter,3,False,0.0,2532226,1
STL10,adapter,3,True,0.0,0,1
STL10,adapter,4,False,67.79,2860738,0
STL10,adapter,4,True,0.0,0,1
STL10,full_ft,0,False,0.0,0,1
SVHN,adapter,1,False,0.0,0,1
SVHN,adapter,1,True,0.0,0,1
SVHN,adapter,2,False,0.0,2203714,1
SVHN,adapter,2,True,0.0,0,1
SVHN,adapter,3,False,0.0,0,1
SVHN,adapter,3,True,0.0,2532850,1
SVHN,adapter,4,False,0.0,0,1
SVHN,adapter,4,True,0.0,2861570,1
SVHN,full_ft,0,False,0.0,0,1
