dataset,mode,M,rc,acc,params,returncode
CIFAR10,adapter,1,False,28.14,1818882,0
CIFAR10,adapter,1,True,29.31,1819042,0
CIFAR10,adapter,2,False,30.79,2091074,0
CIFAR10,adapter,2,True,28.81,2091394,0
CIFAR10,adapter,3,False,30.5,2363266,0
CIFAR10,adapter,3,True,31.96,2363746,0
CIFAR10,adapter,4,False,27.76,2635458,0
CIFAR10,adapter,4,True,33.57,2636098,0
CIFAR10,full_ft,0,False,78.37,1546690,0
CINIC10,adapter,1,False,22.71,1818882,0
CINIC10,adapter,1,True,23.73,1819042,0
CINIC10,adapter,2,False,25.9,2091074,0
CINIC10,adapter,2,True,25.76,2091394,0
CINIC10,adapter,3,False,26.47,2363266,0
CINIC10,adapter,3,True,26.83,2363746,0
CINIC10,adapter,4,False,24.97,2635458,0
CINIC10,adapter,4,True,25.78,2636098,0
CINIC10,full_ft,0,False,64.63,1546690,0
STL10,adapter,1,False,30.27,1818882,0
STL10,adapter,1,True,31.74,1819042,0
STL10,adapter,2,False,31.51,2091074,0
STL10,adapter,2,True,31.96,2091394,0
STL10,adapter,3,False,31.35,2363266,0
STL10,adapter,3,True,32.79,2363746,0
STL10,adapter,4,False,32.3,2635458,0
STL10,adapter,4,True,31.88,2636098,0
STL10,full_ft,0,False,59.11,1546690,0
SVHN,adapter,1,False,38.78,1818882,0
SVHN,adapter,1,True,39.13,1819042,0
SVHN,adapter,2,False,40.98,2091074,0
SVHN,adapter,2,True,43.27,2091394,0
SVHN,adapter,3,False,42.34,2363266,0
SVHN,adapter,3,True,44.13,2363746,0
SVHN,adapter,4,False,42.27,2635458,0
SVHN,adapter,4,True,44.65,2636098,0
SVHN,full_ft,0,False,94.36,1546690,0
