dataset,mode,M,rc,acc,params,returncode
CIFAR10,adapter,1,False,66.05,1818882,0
CIFAR10,adapter,1,True,67.28,1819042,0
CIFAR10,adapter,2,False,67.4,2091074,0
CIFAR10,adapter,2,True,68.47,2091394,0
CIFAR10,adapter,3,False,67.56,2363266,0
CIFAR10,adapter,3,True,69.13,2363746,0
CIFAR10,adapter,4,False,68.43,2635458,0
CIFAR10,adapter,4,True,69.47,2636098,0
CIFAR10,full_ft,0,False,83.01,1546690,0
CINIC10,adapter,1,False,53.69,1818882,0
CINIC10,adapter,1,True,54.54,1819042,0
CINIC10,adapter,2,False,54.75,2091074,0
CINIC10,adapter,2,True,56.01,2091394,0
CINIC10,adapter,3,False,55.07,2363266,0
CINIC10,adapter,3,True,56.33,2363746,0
CINIC10,adapter,4,False,55.17,2635458,0
CINIC10,adapter,4,True,56.73,2636098,0
CINIC10,full_ft,0,False,70.18,1546690,0
FashionMNIST,adapter,1,False,81.02,1818882,0
FashionMNIST,adapter,1,True,83.23,1819042,0
FashionMNIST,adapter,2,False,82.49,2091074,0
FashionMNIST,adapter,2,True,84.37,2091394,0
FashionMNIST,adapter,3,False,83.55,2363266,0
FashionMNIST,adapter,3,True,85.38,2363746,0
FashionMNIST,adapter,4,False,84.07,2635458,0
FashionMNIST,adapter,4,True,86.19,2636098,0
FashionMNIST,full_ft,0,False,92.73,1546690,0
SVHN,adapter,1,False,63.12,1818882,0
SVHN,adapter,1,True,70.71,1819042,0
SVHN,adapter,2,False,70.04,2091074,0
SVHN,adapter,2,True,75.86,2091394,0
SVHN,adapter,3,False,72.76,2363266,0
SVHN,adapter,3,True,76.0,2363746,0
SVHN,adapter,4,False,75.16,2635458,0
SVHN,adapter,4,True,78.05,2636098,0
SVHN,full_ft,0,False,95.32,1546690,0
