dataset,mode,M,rc,acc,params,returncode
CIFAR10,adapter,1,False,36.23,1818882,0
CIFAR10,adapter,1,True,45.71,1819042,0
CIFAR10,adapter,2,False,39.57,2091074,0
CIFAR10,adapter,2,True,46.97,2091394,0
CIFAR10,adapter,3,False,41.53,2363266,0
CIFAR10,adapter,3,True,48.18,2363746,0
CIFAR10,adapter,4,False,44.31,2635458,0
CIFAR10,adapter,4,True,50.48,2636098,0
CIFAR10,full_ft,0,False,81.7,1546690,0
CINIC10,adapter,1,False,29.84,1818882,0
CINIC10,adapter,1,True,33.89,1819042,0
CINIC10,adapter,2,False,32.15,2091074,0
CINIC10,adapter,2,True,38.43,2091394,0
CINIC10,adapter,3,False,30.18,2363266,0
CINIC10,adapter,3,True,36.06,2363746,0
CINIC10,adapter,4,False,32.38,2635458,0
CINIC10,adapter,4,True,36.7,2636098,0
CINIC10,full_ft,0,False,67.85,1546690,0
FashionMNIST,adapter,1,False,73.25,1818882,0
FashionMNIST,adapter,1,True,80.29,1819042,0
FashionMNIST,adapter,2,False,75.36,2091074,0
FashionMNIST,adapter,2,True,81.6,2091394,0
FashionMNIST,adapter,3,False,76.25,2363266,0
FashionMNIST,adapter,3,True,81.85,2363746,0
FashionMNIST,adapter,4,False,76.97,2635458,0
FashionMNIST,adapter,4,True,82.27,2636098,0
FashionMNIST,full_ft,0,False,92.32,1546690,0
STL10,adapter,1,False,33.02,1818882,0
STL10,adapter,1,True,32.5,1819042,0
STL10,adapter,2,False,35.02,2091074,0
STL10,adapter,2,True,36.62,2091394,0
STL10,adapter,3,False,35.85,2363266,0
STL10,adapter,3,True,36.5,2363746,0
STL10,adapter,4,False,35.2,2635458,0
STL10,adapter,4,True,36.52,2636098,0
STL10,full_ft,0,False,63.14,1546690,0
