dataset,bit,mode,acc,params,returncode
CIFAR10,2,adapter_norc,78.74,1875215,0
CIFAR10,4,adapter_norc,82.57,1875215,0
CIFAR10,8,adapter_norc,83.46,1875215,0
CIFAR10,16,adapter_norc,82.43,1875215,0
CIFAR10,32,adapter_norc,82.46,1875215,0
CIFAR10,2,full_ft,87.71,1546698,0
CIFAR10,4,full_ft,87.67,1546698,0
CIFAR10,8,full_ft,87.8,1546698,0
CIFAR10,16,full_ft,87.73,1546698,0
CIFAR10,32,full_ft,87.56,1546698,0
CINIC10,2,adapter_norc,63.81,1875215,0
CINIC10,4,adapter_norc,69.02,1875215,0
CINIC10,8,adapter_norc,69.84,1875215,0
CINIC10,16,adapter_norc,69.7,1875215,0
CINIC10,32,adapter_norc,69.4,1875215,0
CINIC10,2,full_ft,75.46,1546698,0
CINIC10,4,full_ft,76.87,1546698,0
CINIC10,8,full_ft,76.89,1546698,0
CINIC10,16,full_ft,77.12,1546698,0
CINIC10,32,full_ft,77.15,1546698,0
FashionMNIST,2,adapter_norc,92.66,1875215,0
FashionMNIST,4,adapter_norc,93.49,1875215,0
FashionMNIST,8,adapter_norc,93.28,1875215,0
FashionMNIST,16,adapter_norc,93.46,1875215,0
FashionMNIST,32,adapter_norc,93.38,1875215,0
FashionMNIST,2,full_ft,93.99,1546698,0
FashionMNIST,4,full_ft,93.85,1546698,0
FashionMNIST,8,full_ft,94.14,1546698,0
FashionMNIST,16,full_ft,94.15,1546698,0
FashionMNIST,32,full_ft,93.68,1546698,0
STL10,2,adapter_norc,54.96,1875215,0
STL10,4,adapter_norc,58.91,1875215,0
STL10,8,adapter_norc,59.69,1875215,0
STL10,16,adapter_norc,59.42,1875215,0
STL10,32,adapter_norc,56.27,1875215,0
STL10,2,full_ft,62.58,1546698,0
STL10,4,full_ft,60.94,1546698,0
STL10,8,full_ft,60.55,1546698,0
STL10,16,full_ft,61.26,1546698,0
STL10,32,full_ft,60.77,1546698,0
