variant,M,rc,acc,params,returncode
v1v2,1,False,50.68,1605063,0
v1v2,1,True,73.72,1605223,0
v1v2,2,False,55.14,1663436,0
v1v2,2,True,77.16,1663756,0
v1v2,3,False,57.41,1721809,0
v1v2,3,True,78.77,1722289,0
v1v2,4,False,59.79,1780182,0
v1v2,4,True,79.81,1780822,0
v5,1,False,47.66,1818055,0
v5,1,True,73.79,1818215,0
v5,2,False,48.84,2089420,0
v5,2,True,76.82,2089740,0
v5,3,False,54.32,2360785,0
v5,3,True,80.53,2361265,0
v5,4,False,56.55,2632150,0
v5,4,True,81.97,2632790,0
v6,1,False,64.48,1818882,0
v6,1,True,74.31,1819042,0
v6,2,False,65.62,2091074,0
v6,2,True,79.99,2091394,0
v6,3,False,70.08,2363266,0
v6,3,True,83.23,2363746,0
v6,4,False,70.92,2635458,0
v6,4,True,83.31,2636098,0
