dataset,M,rc,acc,params,returncode
CINIC10,1,False,64.24,1818882,0
CINIC10,1,True,64.56,1819042,0
CINIC10,2,False,64.56,2091074,0
CINIC10,2,True,64.79,2091394,0
CINIC10,3,False,64.57,2363266,0
CINIC10,3,True,64.97,2363746,0
FashionMNIST,1,False,77.71,1818882,0
FashionMNIST,1,True,81.34,1819042,0
FashionMNIST,2,False,79.23,2091074,0
FashionMNIST,2,True,82.96,2091394,0
FashionMNIST,3,False,80.71,2363266,0
FashionMNIST,3,True,82.37,2363746,0
STL10,1,False,67.06,1818882,0
STL10,1,True,66.97,1819042,0
STL10,2,False,67.12,2091074,0
STL10,2,True,67.91,2091394,0
STL10,3,False,67.33,2363266,0
STL10,3,True,67.86,2363746,0
