dataset,mode,M,rc,acc,params,returncode
CIFAR10,adapter,1,True,78.21,1605223,0
CIFAR10,adapter,2,True,78.6,1663756,0
CIFAR10,adapter,3,True,78.87,1722289,0
CIFAR10,adapter,4,True,78.72,1780822,0
CIFAR10,full_ft,0,False,80.68,1546690,0
FashionMNIST,adapter,1,True,80.23,1605223,0
FashionMNIST,adapter,2,True,81.86,1663756,0
FashionMNIST,adapter,3,True,82.17,1722289,0
FashionMNIST,adapter,4,True,82.88,1780822,0
FashionMNIST,full_ft,0,False,91.7,1546690,0
STL10,adapter,1,True,67.21,1605223,0
STL10,adapter,2,True,67.6,1663756,0
STL10,adapter,3,True,67.54,1722289,0
STL10,adapter,4,True,67.42,1780822,0
STL10,full_ft,0,False,70.66,1546690,0
SVHN,adapter,1,True,69.14,1605223,0
SVHN,adapter,2,True,73.88,1663756,0
SVHN,adapter,3,True,75.39,1722289,0
SVHN,adapter,4,True,76.34,1780822,0
SVHN,full_ft,0,False,94.64,1546690,0
